,County,State,ImmCountRounded,Origin,OriginTooltip,CountyPercentbyOrigin,ImmCount,TotalImmPopRounded,TotalImm
8,"Fayette County, Georgia",Georgia,1300,Mexico,Mexico,0.000117417,1321,11250500,11250541
9,"Fayette County, Georgia",Georgia,1600,South Central Asia,South Central Asia,0.00038952400000000003,1566,4020300,4020291
10,"Fayette County, Georgia",Georgia,11400,(All countries),all countries,0.000259524,11422,44011400,44011407
0,"Forsyth County, Georgia",Georgia,1600,Africa,Africa,0.000728063,1643,2256700,2256673
1,"Forsyth County, Georgia",Georgia,12000,Americas,Americas,0.000520929,12022,23078000,23077986
2,"Forsyth County, Georgia",Georgia,21700,Asia,Asia,0.00158954,21684,13641700,13641680
3,"Forsyth County, Georgia",Georgia,7400,Central America,Central America,0.000501965,7411,14764000,14763980
4,"Forsyth County, Georgia",Georgia,1300,"Central America, excluding Mexico","Central America, excl. Mexico",0.000356915,1254,3513400,3513439
5,"Forsyth County, Georgia",Georgia,2600,China,China,0.0009262039999999999,2570,2774800,2774768
6,"Forsyth County, Georgia",Georgia,2100,"China, excluding Hong Kong and Taiwan","China, excl. Hong Kong and Taiwan",0.000948023,2050,2162400,2162395
7,"Forsyth County, Georgia",Georgia,2100,"China, excluding Taiwan","China, excl. Taiwan",0.0008898469999999999,2130,2393700,2393670
8,"Forsyth County, Georgia",Georgia,4400,Eastern Asia,Eastern Asia,0.001041203,4352,4179800,4179779
9,"Forsyth County, Georgia",Georgia,2000,Eastern Europe,Eastern Europe,0.0009531489999999999,2008,2106700,2106701
10,"Forsyth County, Georgia",Georgia,4500,Europe,Europe,0.000941676,4486,4763800,4763845
11,"Forsyth County, Georgia",Georgia,13400,India,India,0.005244533000000001,13436,2561900,2561906
12,"Forsyth County, Georgia",Georgia,1600,Korea,Korea,0.001542167,1611,1044600,1044634
13,"Forsyth County, Georgia",Georgia,11300,Latin America,Latin America,0.0005065219999999999,11276,22261600,22261633
14,"Forsyth County, Georgia",Georgia,6200,Mexico,Mexico,0.000547263,6157,11250500,11250541
15,"Forsyth County, Georgia",Georgia,1200,Northern Europe,Northern Europe,0.001234742,1167,945100,945137
16,"Forsyth County, Georgia",Georgia,1000,"Northern Triangle: El Salvador, Guatemala, Honduras","Northern Triangle: El Salvador, Guatemala, Honduras",0.00033242199999999997,1001,3011200,3011229
17,"Forsyth County, Georgia",Georgia,3100,South America,South America,0.0009744539999999999,3081,3161800,3161769
18,"Forsyth County, Georgia",Georgia,14800,South Central Asia,South Central Asia,0.0036850570000000003,14815,4020300,4020291
19,"Forsyth County, Georgia",Georgia,1700,South Eastern Asia,South Eastern Asia,0.000396963,1693,4264900,4264879
20,"Forsyth County, Georgia",Georgia,1400,Sub-Saharan Africa,Sub-Saharan Africa,0.0007154739999999999,1355,1893800,1893849
21,"Forsyth County, Georgia",Georgia,40000,(All countries),all countries,0.0009080830000000001,39966,44011400,44011407
22,"Forsyth County, Georgia",Georgia,1100,Western Europe,Western Europe,0.0011113380000000001,1051,945700,945707
0,"Fulton County, Georgia",Georgia,12800,Africa,Africa,0.005661431999999999,12776,2256700,2256673
1,"Fulton County, Georgia",Georgia,45400,Americas,Americas,0.001966939,45393,23078000,23077986
2,"Fulton County, Georgia",Georgia,60400,Asia,Asia,0.00442834,60410,13641700,13641680
3,"Fulton County, Georgia",Georgia,3200,Brazil,Brazil,0.007428272,3220,433500,433479
4,"Fulton County, Georgia",Georgia,3400,Canada,Canada,0.004196318,3393,808600,808566
5,"Fulton County, Georgia",Georgia,9200,Caribbean,Caribbean,0.002118138,9184,4335900,4335884
6,"Fulton County, Georgia",Georgia,22000,Central America,Central America,0.001489707,21994,14764000,14763980
7,"Fulton County, Georgia",Georgia,2900,"Central America, excluding Mexico","Central America, excl. Mexico",0.000837356,2942,3513400,3513439
8,"Fulton County, Georgia",Georgia,10100,China,China,0.003629132,10070,2774800,2774768
9,"Fulton County, Georgia",Georgia,8300,"China, excluding Hong Kong and Taiwan","China, excl. Hong Kong and Taiwan",0.003829088,8280,2162400,2162395
10,"Fulton County, Georgia",Georgia,8800,"China, excluding Taiwan","China, excl. Taiwan",0.003658817,8758,2393700,2393670
11,"Fulton County, Georgia",Georgia,2300,Colombia,Colombia,0.003032675,2309,761400,761374
12,"Fulton County, Georgia",Georgia,1300,Cuba,Cuba,0.000993119,1281,1289900,1289875
13,"Fulton County, Georgia",Georgia,3400,Eastern Africa,Eastern Africa,0.004967215,3365,677400,677442
14,"Fulton County, Georgia",Georgia,16500,Eastern Asia,Eastern Asia,0.0039581040000000005,16544,4179800,4179779
15,"Fulton County, Georgia",Georgia,6300,Eastern Europe,Eastern Europe,0.0030103940000000004,6342,2106700,2106701
